"model_type
",num_params,training_loss,best_loss,val_loss,test_loss,inf_time,kaggle_score,kaggle_test_score, epochs
Transformer,3000,2.63E-07,6.67E-07,6.67E-07,0.091543175,0.037183296,2.490434229,3.042343318,161
LSTM,3000,8.35E-06,6.67E-07,6.67E-07,0.091543175,0.011776672,2.490434229,3.042343318,161
MLP,3000,7.76E-08,6.92E-07,6.92E-07,0.09153343,0.001015488,24.19004709,39.57329025,999
MLP,3000,3.03E-07,6.74E-07,6.74E-07,0.091541827,0.000845856,14.2933738,16.96450889,231
MLP,3000,8.39E-06,6.67E-07,6.67E-07,0.091542907,0.001212864,2.950333416,3.714290631,241
MLP,3000,8.38E-06,6.67E-07,6.67E-07,0.091542237,0.001258592,4.181344151,4.879777551,201
MLP,3000,8.39E-06,6.67E-07,6.67E-07,0.091543011,0.00122208,2.706813675,3.26819573,241
MLP,3000,8.60E-06,6.67E-07,6.67E-07,0.091542996,0.001034272,3.465392232,4.150872278,221
MLP,3000,8.59E-06,6.67E-07,6.67E-07,0.091542736,0.001064704,4.09783479,4.669446373,221
MLP,3000,2.94E-07,6.69E-07,6.69E-07,0.091541164,0.001060544,8.723231983,9.253268933,211
MLP,3000,1.76E-07,7.06E-07,7.06E-07,0.091548599,0.001041536,30.62332916,30.73798423,231
MLP,3000,1.28E-07,6.67E-07,6.67E-07,0.091542982,0.001331424,2.754319596,3.353206217,201
MLP,3000,8.40E-06,6.67E-07,6.67E-07,0.091542952,0.001224832,2.895861161,3.457243216,251
MLP,3000,3.39E-08,6.67E-07,6.67E-07,0.091543041,0.00147232,2.721466243,3.259247661,251
MLP,3000,9.77E-08,6.67E-07,6.67E-07,0.091543317,0.001235168,2.908487034,3.383033121,221
MLP,3000,2.98E-07,6.67E-07,6.67E-07,0.091543764,0.00122144,4.136018854,4.773180467,231
